iter	Passed	Remaining
826	3474	726
827	3479	722
828	3482	718
829	3486	714
830	3491	710
831	3496	705
832	3500	701
833	3504	697
834	3510	693
835	3516	689
836	3519	685
837	3523	681
838	3528	677
839	3532	672
840	3536	668
841	3541	664
842	3545	660
843	3549	655
844	3553	651
845	3558	647
846	3561	643
847	3565	639
848	3568	634
849	3573	630
850	3576	626
851	3580	621
852	3584	617
853	3588	613
854	3592	609
855	3595	604
856	3599	600
857	3603	596
858	3607	592
859	3611	587
860	3614	583
861	3620	579
862	3624	575
863	3628	571
864	3632	566
865	3636	562
866	3640	558
867	3644	554
868	3648	550
869	3654	546
870	3657	541
871	3661	537
872	3665	533
873	3705	534
874	3713	530
875	3720	526
876	3726	522
877	3733	518
878	3741	514
879	3747	511
880	3753	506
881	3758	502
882	3763	498
883	3767	494
884	3771	490
885	3775	485
886	3780	481
887	3784	477
888	3787	472
889	3791	468
890	3797	464
891	3801	460
892	3805	455
893	3809	451
894	3828	449
895	3834	445
896	3840	440
897	3846	436
898	3850	432
899	3856	428
900	3860	424
901	3864	419
902	3868	415
903	3872	411
904	3875	406
905	3879	402
906	3883	398
907	3886	393
908	3889	389
909	3893	385
910	3896	380
911	3900	376
912	3904	372
913	3907	367
914	3910	363
915	3915	359
916	3918	354
917	3922	350
918	3925	345
919	3929	341
920	3934	337
921	3947	333
922	3951	329
923	3955	325
924	3958	320
925	3962	316
926	3978	313
927	3983	309
928	3989	304
929	3993	300
930	3999	296
931	4003	292
932	4007	287
933	4013	283
934	4017	279
935	4021	274
936	4024	270
937	4028	266
938	4032	261
939	4035	257
940	4039	253
941	4043	248
942	4047	244
943	4050	240
944	4054	235
945	4058	231
946	4063	227
947	4067	223
948	4070	218
949	4074	214
950	4078	210
951	4082	205
952	4085	201
953	4089	197
954	4109	193
955	4113	189
956	4116	184
957	4121	180
958	4126	176
959	4132	172
960	4137	167
961	4141	163
962	4146	159
963	4157	155
964	4160	150
965	4164	146
966	4167	142
967	4172	137
968	4175	133
969	4178	129
970	4182	124
971	4186	120
972	4190	116
973	4194	111
974	4197	107
975	4201	103
976	4206	99
977	4209	94
978	4213	90
979	4217	86
980	4221	81
981	4225	77
982	4228	73
983	4232	68
984	4237	64
985	4241	60
986	4244	55
987	4248	51
988	4252	47
989	4256	42
990	4259	38
991	4263	34
992	4268	30
993	4271	25
994	4275	21
995	4279	17
996	4284	12
997	4287	8
998	4291	4
999	4295	0
